Creation policy of v1.1 [Simple version] ,,,,
"The important thing is to respect the Constitution of the Constitutional Convention, not to make any essential changes to it, and to focus only on simplifying it. The aim is not to deny the Constitution of the Constitutional Convention, but to strengthen it by simplifying it.",,,,
1. Carefully correct duplicated and redundant expressions to make them simple. Carefully confirm that there are no changes to the intended content or effect from the version approved by the Constitutional Convention.,,,,
"2. We remove language that we believe will have no practical effect if removed, and we are careful to make sure that no one is harmed by this removal.",,,,
3. No new ideas added. v1.1 will focus on simplification.,,,,
4. We will be ignoring Guardrails and TENET in order to focus on submitting v1.1 for GA in January or February.,,,,
https://docs.google.com/document/d/1o9B3JsYAdTF1ycEkRcAWm_i095Ns7CBd_fxJiU6G0iY/edit?tab=t.0#heading=h.4h2z8okq9vgc,,,,
v1.0,v1.1,,Diff & Reason,
"HARDFORK-01 (~ - no access to existing parameter values) The major protocol version must be the same as or one greater than the major version that will be enacted immediately prior to this change. If the major protocol version is one greater, then the minor protocol version must be zero","HARDFORK-01 (~ - no access to existing parameter values) The major protocol version must be the same as or one greater than the major version that will be enacted immediately prior to this change. If the major protocol version is one greater, then the minor protocol version must be zero",,0.APPENDIX,
"HARDFORK-02a (~ - no access to existing parameter values) Unless the major protocol version is also changed, the minor protocol version must be greater than the minor version that will be enacted immediately prior to this change","HARDFORK-02a (~ - no access to existing parameter values) Unless the major protocol version is also changed, the minor protocol version must be greater than the minor version that will be enacted immediately prior to this change",,0.APPENDIX,
HARDFORK-03 (~ - no access to existing parameter values) At least one of the protocol versions (major or minor or both) must change,HARDFORK-03 (~ - no access to existing parameter values) At least one of the protocol versions (major or minor or both) must change,,0.APPENDIX,
HARDFORK-04a (x) At least 85% of stake pools by active stake should have upgraded to a Cardano Blockchain node version that is capable of processing the rules associated with the new protocol version,HARDFORK-04a (x) At least 85% of stake pools by active stake should have upgraded to a Cardano Blockchain node version that is capable of processing the rules associated with the new protocol version,,0.APPENDIX,
HARDFORK-05 (x) Any new updatable protocol parameters that are introduced with a hard fork must be included in this Appendix and suitable guardrails defined for those parameters,HARDFORK-05 (x) Any new updatable protocol parameters that are introduced with a hard fork must be included in this Appendix and suitable guardrails defined for those parameters,,0.APPENDIX,
HARDFORK-06 (x) Settings for any new protocol parameters that are introduced with a hard fork must be included in the appropriate Genesis file,HARDFORK-06 (x) Settings for any new protocol parameters that are introduced with a hard fork must be included in the appropriate Genesis file,,0.APPENDIX,
HARDFORK-07 (x) Any deprecated protocol parameters must be indicated in this Appendix,HARDFORK-07 (x) Any deprecated protocol parameters must be indicated in this Appendix,,0.APPENDIX,
HARDFORK-08 (~ - no access to Plutus cost model parameters) New Plutus versions must be supported by a version-specific Plutus cost model that covers each primitive that is available in the new Plutus version,HARDFORK-08 (~ - no access to Plutus cost model parameters) New Plutus versions must be supported by a version-specific Plutus cost model that covers each primitive that is available in the new Plutus version,,0.APPENDIX,
5. Guardrails and Guidelines on Update Constitutional Committee or Threshold Actions,5. Guardrails and Guidelines on Update Constitutional Committee or Threshold Actions,,0.APPENDIX,
"Update Constitutional Committee or Threshold governance actions may change the size, composition or required voting thresholds for the Constitutional Committee.","Update Constitutional Committee or Threshold governance actions may change the size, composition or required voting thresholds for the Constitutional Committee.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
UPDATE-CC-01a (x) Update Constitutional Committee and/or threshold and/or term governance actions must not be ratified until ada holders have ratified through an on-chain governance action this Constitution,UPDATE-CC-01a (x) Update Constitutional Committee and/or threshold and/or term governance actions must not be ratified until ada holders have ratified through an on-chain governance action this Constitution,,0.APPENDIX,
6. Guardrails and Guidelines on New Constitution or Guardrails Script Actions,6. Guardrails and Guidelines on New Constitution or Guardrails Script Actions,,0.APPENDIX,
New constitution or Guardrails Script actions change the hash of the on-chain Constitution and the associated Guardrails Script.,New constitution or Guardrails Script actions change the hash of the on-chain Constitution and the associated Guardrails Script.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
NEW-CONSTITUTION-01a (x) A New Constitution or Guardrails Script governance action must be submitted to define any required guardrails for new parameters that are introduced via a Hard Fork governance action,NEW-CONSTITUTION-01a (x) A New Constitution or Guardrails Script governance action must be submitted to define any required guardrails for new parameters that are introduced via a Hard Fork governance action,,0.APPENDIX,
"NEW-CONSTITUTION-02 (x) If specified, the new Guardrails Script must be consistent with this Constitution","NEW-CONSTITUTION-02 (x) If specified, the new Guardrails Script must be consistent with this Constitution",,0.APPENDIX,
7. Guardrails and Guidelines on No Confidence Actions,7. Guardrails and Guidelines on No Confidence Actions,,0.APPENDIX,
No confidence actions signal a state of no confidence in the governance system. No guardrails are imposed on No Confidence actions.,No confidence actions signal a state of no confidence in the governance system. No guardrails are imposed on No Confidence actions.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
None,None,,0.APPENDIX,
8. GUARDRAILS AND GUIDELINES ON INFO ACTIONS,8. GUARDRAILS AND GUIDELINES ON INFO ACTIONS,,0.APPENDIX,
Info actions are not enacted on-chain. No guardrails are imposed on Info actions.,Info actions are not enacted on-chain. No guardrails are imposed on Info actions.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
None,None,,0.APPENDIX,
9. List of Protocol Parameter Groups,9. List of Protocol Parameter Groups,,0.APPENDIX,
"The protocol parameters are grouped by type, allowing different thresholds to be set for each group.","The protocol parameters are grouped by type, allowing different thresholds to be set for each group.",,0.APPENDIX,
The network parameter group consists of:,The network parameter group consists of:,,0.APPENDIX,
maximum block body size (maxBlockBodySize),maximum block body size (maxBlockBodySize),,0.APPENDIX,
maximum transaction size (maxTxSize),maximum transaction size (maxTxSize),,0.APPENDIX,
maximum block header size (maxBlockHeaderSize),maximum block header size (maxBlockHeaderSize),,0.APPENDIX,
maximum size of a serialized asset value (maxValueSize),maximum size of a serialized asset value (maxValueSize),,0.APPENDIX,
maximum script execution units in a single transaction (maxTxExecutionUnits[steps]),maximum script execution units in a single transaction (maxTxExecutionUnits[steps]),,0.APPENDIX,
maximum script execution units in a single block (maxBlockExecutionUnits[steps]),maximum script execution units in a single block (maxBlockExecutionUnits[steps]),,0.APPENDIX,
maximum number of collateral inputs (maxCollateralInputs),maximum number of collateral inputs (maxCollateralInputs),,0.APPENDIX,
The economic parameter group consists of:,The economic parameter group consists of:,,0.APPENDIX,
minimum fee coefficient (txFeePerByte),minimum fee coefficient (txFeePerByte),,0.APPENDIX,
minimum fee constant (txFeeFixed),minimum fee constant (txFeeFixed),,0.APPENDIX,
minimum fee per byte for reference scripts (minFeeRefScriptCoinsPerByte),minimum fee per byte for reference scripts (minFeeRefScriptCoinsPerByte),,0.APPENDIX,
delegation key lovelace deposit (stakeAddressDeposit),delegation key lovelace deposit (stakeAddressDeposit),,0.APPENDIX,
pool registration lovelace deposit (stakePoolDeposit),pool registration lovelace deposit (stakePoolDeposit),,0.APPENDIX,
monetary expansion (monetaryExpansion),monetary expansion (monetaryExpansion),,0.APPENDIX,
treasury expansion (treasuryCut),treasury expansion (treasuryCut),,0.APPENDIX,
minimum fixed rewards cut for pools (minPoolCost),minimum fixed rewards cut for pools (minPoolCost),,0.APPENDIX,
minimum lovelace deposit per byte of serialized UTxO (coinsPerUTxOByte),minimum lovelace deposit per byte of serialized UTxO (coinsPerUTxOByte),,0.APPENDIX,
prices of Plutus execution units (executionUnitPrices[priceSteps/priceMemory]),prices of Plutus execution units (executionUnitPrices[priceSteps/priceMemory]),,0.APPENDIX,
The technical/security parameter group consists of:,The technical/security parameter group consists of:,,0.APPENDIX,
pool pledge influence (poolPledgeInfluence),pool pledge influence (poolPledgeInfluence),,0.APPENDIX,
pool retirement maximum epoch (poolRetireMaxEpoch),pool retirement maximum epoch (poolRetireMaxEpoch),,0.APPENDIX,
desired number of pools (stakePoolTargetNum),desired number of pools (stakePoolTargetNum),,0.APPENDIX,
Plutus execution cost models (costModels),Plutus execution cost models (costModels),,0.APPENDIX,
proportion of collateral needed for scripts (collateralPercentage),proportion of collateral needed for scripts (collateralPercentage),,0.APPENDIX,
The governance parameter group consists of:,The governance parameter group consists of:,,0.APPENDIX,
"governance voting thresholds (dRepVotingThresholds[...], poolVotingThresholds[...])","governance voting thresholds (dRepVotingThresholds[...], poolVotingThresholds[...])",,0.APPENDIX,
governance action maximum lifetime in epochs (govActionLifetime),governance action maximum lifetime in epochs (govActionLifetime),,0.APPENDIX,
governance action deposit* (govActionDeposit),governance action deposit* (govActionDeposit),,0.APPENDIX,
DRep deposit amount (dRepDeposit),DRep deposit amount (dRepDeposit),,0.APPENDIX,
DRep activity period in epochs (dRepActivity),DRep activity period in epochs (dRepActivity),,0.APPENDIX,
minimal constitutional committee size (committeeMinSize),minimal constitutional committee size (committeeMinSize),,0.APPENDIX,
maximum term length (in epochs) for the constitutional committee members (committeeMaxTermLength),maximum term length (in epochs) for the constitutional committee members (committeeMaxTermLength),,0.APPENDIX,
APPENDIX II: SUPPORTING GUIDANCE,APPENDIX II: SUPPORTING GUIDANCE,,0.APPENDIX,
This Appendix II is intended to provide guidance in interpreting the Constitution and the Constitutional Committee shall consider this Appendix II as it deems relevant and useful in carrying out its constitutional duties.,This Appendix II is intended to provide guidance in interpreting the Constitution and the Constitutional Committee shall consider this Appendix II as it deems relevant and useful in carrying out its constitutional duties.,,0.APPENDIX,
1. Framing Notes,1. Framing Notes,,0.APPENDIX,
"The Cardano Blockchain was established in 2017. In July 2020 the Cardano Blockchain was expanded to include independent block validators and in September 2024 an on-chain governance system was introduced. This Constitution outlines the rights and responsibilities of governance actors in the decentralized system who represent the owners of ada, the governance token of the Cardano Blockchain. The Cardano Blockchain is presently a decentralized ecosystem of blockchain technology, smart contracts, and community governance.","The Cardano Blockchain was established in 2017. In July 2020 the Cardano Blockchain was expanded to include independent block validators and in September 2024 an on-chain governance system was introduced. This Constitution outlines the rights and responsibilities of governance actors in the decentralized system who represent the owners of ada, the governance token of the Cardano Blockchain. The Cardano Blockchain is presently a decentralized ecosystem of blockchain technology, smart contracts, and community governance.",,0.APPENDIX,
"In approaching this Constitution, the Cardano Community recognizes that it must be remembered that this is not a constitution for only a blockchain but rather a constitution for a blockchain ecosystem – a much more ambitious endeavor. Accordingly, how governance actions are approved, while extremely important, is not the sole focus of this Constitution. Rather, this Constitution provides the basis and fundamental framework through which all participants in the Cardano Community can come together to govern themselves and form radically new approaches to human interaction and collaboration.","In approaching this Constitution, the Cardano Community recognizes that it must be remembered that this is not a constitution for only a blockchain but rather a constitution for a blockchain ecosystem – a much more ambitious endeavor. Accordingly, how governance actions are approved, while extremely important, is not the sole focus of this Constitution. Rather, this Constitution provides the basis and fundamental framework through which all participants in the Cardano Community can come together to govern themselves and form radically new approaches to human interaction and collaboration.",,0.APPENDIX,
"By necessity, this Constitution recognizes the role of and empowers the Constitutional Committee, confirms the right of the Cardano Community to participate in collective bodies for collaboration, gives effect to on-chain governance, and empowers DReps to act as the voice of ada owners for on-chain voting.","By necessity, this Constitution recognizes the role of and empowers the Constitutional Committee, confirms the right of the Cardano Community to participate in collective bodies for collaboration, gives effect to on-chain governance, and empowers DReps to act as the voice of ada owners for on-chain voting.",,0.APPENDIX,
The Constitution also recognizes the necessity of safeguarding access to and the use of funds of the Cardano Blockchain treasury through the inclusion of the Cardano Blockchain Guardrails in this Constitution.,The Constitution also recognizes the necessity of safeguarding access to and the use of funds of the Cardano Blockchain treasury through the inclusion of the Cardano Blockchain Guardrails in this Constitution.,,0.APPENDIX,
2. Other Guidance,2. Other Guidance,,0.APPENDIX,
"The drafters of the Constitution, together with other participants from the Cardano Community, have published and in the future may publish guidance for interpreting the Constitution, including, without limitation, a definition booklet that has been released contemporaneously with the on-chain ratification of the Constitution. So long as any such published guidance has been hashed to the Cardano Blockchain pursuant to an ""Info"" action, the Constitutional Committee shall not be precluded from considering and utilizing such guidance as it deems appropriate.","The drafters of the Constitution, together with other participants from the Cardano Community, have published and in the future may publish guidance for interpreting the Constitution, including, without limitation, a definition booklet that has been released contemporaneously with the on-chain ratification of the Constitution. So long as any such published guidance has been hashed to the Cardano Blockchain pursuant to an ""Info"" action, the Constitutional Committee shall not be precluded from considering and utilizing such guidance as it deems appropriate.",,0.APPENDIX,
